#,title,artist,top genre,year,bpm
1,"Hey, Soul Sister",Train,neo mellow,2010,97
2,Love The Way You Lie,Eminem,detroit hip hop,2010,87
3,TiK ToK,Kesha,dance pop,2010,120
4,Bad Romance,Lady Gaga,dance pop,2010,119
5,Just the Way You Are,Bruno Mars,pop,2010,109
6,Baby,Justin Bieber,canadian pop,2010,65
7,Dynamite,Taio Cruz,dance pop,2010,120
8,Secrets,OneRepublic,dance pop,2010,148
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128
12,Marry You,Bruno Mars,pop,2010,145
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130
14,Telephone,Lady Gaga,dance pop,2010,122
15,Like A G6,Far East Movement,dance pop,2010,125
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130
17,Eenie Meenie,Sean Kingston,dance pop,2010,121
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128
19,Alejandro,Lady Gaga,dance pop,2010,99
20,Your Love Is My Drug,Kesha,dance pop,2010,120
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130
22,Whataya Want from Me,Adam Lambert,australian pop,2010,186
23,Take It Off,Kesha,dance pop,2010,125
24,Misery,Maroon 5,pop,2010,103
25,All The Right Moves,OneRepublic,dance pop,2010,146
26,Animal,Neon Trees,indie pop,2010,148
27,Naturally,Selena Gomez & The Scene,dance pop,2010,133
28,I Like It,Enrique Iglesias,dance pop,2010,129
29,Teenage Dream,Katy Perry,dance pop,2010,120
30,California Gurls,Katy Perry,dance pop,2010,125
31,3,Britney Spears,dance pop,2010,135
32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138
33,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120
34,Imma Be,The Black Eyed Peas,dance pop,2010,92
35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111
36,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164
38,If I Had You,Adam Lambert,australian pop,2010,131
39,Rock That Body,The Black Eyed Peas,dance pop,2010,125
40,Dog Days Are Over,Florence + The Machine,art pop,2010,150
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150
42,Doesn't Mean Anything,Alicia Keys,hip pop,2010,104
43,Hard,Rihanna,barbadian pop,2010,182
44,Loca,Shakira,colombian pop,2010,112
45,You Lost Me,Christina Aguilera,dance pop,2010,43
46,Not Myself Tonight,Christina Aguilera,dance pop,2010,120
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120
49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80
50,Break Your Heart,Taio Cruz,dance pop,2010,122
